p_val	avg_logFC	pct.1	pct.2	p_val_adj
H2afx	0.000635518549353851	0.00254527049537695	0.213	0.27	1
Galnt11	0.000638963790361892	0.0508223658487536	0.162	0.113	1
Smurf1	0.000639276706719788	0.0199194500376735	0.139	0.176	1
Mtmr1	0.000641387790721632	0.0693197235453541	0.199	0.142	1
Gm49368	0.000643017700064405	-0.0296603882612824	0.101	0.142	1
Eya3	0.000646477250163782	-0.0133951990365822	0.12	0.162	1
Cd40	0.000657924826261988	-0.00181432311272303	0.114	0.054	1
Sp6	0.000658824694658765	0.0646537183873557	0.092	0.123	1
Stx17	0.000661950603533841	-0.0317644166170618	0.075	0.115	1
Mocs2	0.000664582810152182	0.101092830599855	0.221	0.162	1
Zfp995	0.000665348176510989	0.0871586097671601	0.146	0.093	1
Fkbp11	0.000677803053704074	0.023142437036055	0.176	0.123	1
Cisd1	0.000678672366872449	0.0843356729515204	0.154	0.1	1
Gm10762	0.000680136100259425	0.0257411954029114	0.118	0.167	1
Tmem9b	0.000683653103612424	0.290289071766746	0.329	0.262	1
Fam98b	0.000686443094432727	-0.01820227730782	0.155	0.113	1
AV099323	0.000687042832501607	-0.0542930781172919	0.092	0.145	1
Tufm	0.000688031023471112	0.036018589182535	0.133	0.179	1
Adprm	0.000689992464755289	-0.0295087694971107	0.137	0.186	1
Nfil3	0.000691447329167032	-0.0644838175195949	0.113	0.167	1
Cbx5	0.00070075727326978	0.0351315298597619	0.112	0.159	1
Tbc1d9b	0.000705438556384068	0.0297968692027765	0.094	0.135	1
Hmces	0.000709278598978624	0.0666253657396662	0.189	0.137	1
Nkap	0.000710732418405452	0.0374037654820145	0.136	0.179	1
Cul4b	0.000711502360868651	-0.0619874873336085	0.13	0.184	1
Hbb-bt	0.00071190315457208	0.0378795011228258	0.129	0.066	1
Ttll1	0.000714696175091404	0.0206406684950659	0.109	0.086	1
1810022K09Rik	0.000716282501167479	0.135745771472713	0.301	0.235	1
Zfyve16	0.000716559967101749	0.0419685792023928	0.148	0.194	1
Tmem161b	0.000716931189275214	0.0125896562488494	0.152	0.105	1
Ldhb	0.000718149644654658	0.361516146890873	0.348	0.282	1
Prkrip1	0.000719540970099995	0.0750802660635549	0.137	0.179	1
Endog	0.000722661637552911	0.013153578147823	0.17	0.218	1
Qdpr	0.000723159960728449	-0.0484906390308549	0.104	0.159	1
Zfp420	0.000723645621345969	0.00155471997351021	0.102	0.13	1
Arl16	0.000725222033614747	-0.00903432033594914	0.097	0.14	1
Ssb	0.000728889764222066	0.206476497498345	0.416	0.35	1
Mlx	0.000729319428441239	-0.0272872768761345	0.165	0.218	1
Mtx1	0.000730391485157939	0.00284011411144397	0.168	0.216	1
Taf1d	0.000733647035761297	-0.167241299289625	0.349	0.431	1
Ankrd26	0.000735889652465776	-0.0228212411618177	0.151	0.196	1
Tmem70	0.000737407308754675	0.0426566237695886	0.152	0.105	1
Myc	0.000738815464060721	0.00712210781933345	0.085	0.132	1
Ube2e2	0.000739598745448408	0.0243144075023971	0.175	0.103	1
Mfhas1	0.000742790469147249	0.0450658322937536	0.201	0.15	1
Zfp146	0.000742869176599309	0.0778933361717571	0.157	0.088	1
Zbtb8b	0.000744668491133789	0.124947221009855	0.173	0.123	1
Ccnt1	0.000744923930538199	0.0208946816796486	0.258	0.203	1
Slc25a3	0.000745180653198736	-0.0922322211608364	0.393	0.507	1
Nbr1	0.000745902310098012	0.00843961365216869	0.117	0.162	1
Atad2b	0.000746264095838137	0.0647835767192844	0.224	0.176	1
Sept9	0.000747767103026293	0.408166762896824	0.267	0.191	1
Parl	0.000748440175015175	0.226890118030156	0.173	0.113	1
2310061I04Rik	0.000751671630691668	-0.0614159912193201	0.119	0.167	1
Bod1	0.000756661231079474	0.0469887589758929	0.128	0.044	1
Gm10827	0.000759223702155413	-0.0304262369666339	0.156	0.118	1
Dnajb5	0.000761729152981736	0.0441329597011206	0.174	0.125	1
Btaf1	0.000767322997379358	0.0619280846821622	0.204	0.152	1
Spg20	0.00077206218637326	0.0844531715934869	0.181	0.118	1
Pnp	0.000775545653334949	-0.0620681574133439	0.112	0.164	1
Lcorl	0.0007759731016203	0.0108984867349432	0.123	0.15	1
Lefty1	0.000784567048718842	-0.00699840672828234	0.105	0.145	1
Nedd1	0.000784925393657055	-0.0268323016116944	0.068	0.125	1
Ctsw	0.000791283676688101	0.026771635004364	0.189	0.14	1
Ptges3	0.000792153684804006	-0.0862597286061881	0.245	0.311	1
Fbxw11	0.000792903631876056	-0.00214320947356655	0.192	0.145	1
Pradc1	0.000795651125024184	0.0023167930254028	0.187	0.137	1
Gnptg	0.000796151660326496	-0.0278521723512422	0.139	0.194	1
Coq10a	0.000802342630711956	0.0377787893659511	0.136	0.093	1
Mc1r	0.000803305516396728	-0.0528484102088369	0.146	0.196	1
Rnf219	0.000804005889363047	0.0367868616591166	0.143	0.093	1
Zmat1	0.00080592915222791	0.0726709301340438	0.138	0.071	1
Pex14	0.000820843111170399	-0.0354111389159307	0.15	0.199	1
Osgin2	0.000821427243788676	-0.0169179132890421	0.128	0.174	1
Wwox	0.000824386421239336	0.0260255662594466	0.11	0.135	1
Borcs6	0.000824767326469087	-0.0461668259749237	0.184	0.142	1
Pak1	0.000826063568521218	-0.0311029113209011	0.114	0.081	1
Strbp	0.000827356265785629	-0.0337956172178261	0.16	0.211	1
Svil	0.000827671430226145	0.0261304732664322	0.194	0.238	1
Plgrkt	0.000829580754003938	0.173762959128256	0.247	0.186	1
C1qtnf12	0.000829961258670027	0.0251783727766214	0.109	0.135	1
Pbdc1	0.000834260801897408	0.103149304525038	0.269	0.223	1
Pex13	0.000836185547287959	0.0835150254315823	0.2	0.15	1
Polm	0.000849292243662362	-0.0138801130587358	0.13	0.083	1
Kcnab2	0.000855822500613586	0.0606054730045855	0.165	0.208	1
Psmc6	0.000857586521685916	0.22852210977494	0.275	0.208	1
Ccr5	0.000858053442406657	0.0350606513697017	0.151	0.088	1
Lsm6	0.000860343037708115	-0.0594890635551139	0.288	0.375	1
Cnr2	0.000871248951118441	0.0179843584994284	0.134	0.098	1
Ctps2	0.000874244826138852	0.105046245198942	0.214	0.159	1
Ephx1	0.000876669410886075	-0.00411437899953437	0.16	0.118	1
Cnp	0.000879489358262602	-0.00938536472119056	0.229	0.316	1
Kctd6	0.000879749836296732	0.0212708608818848	0.061	0.105	1
Fam32a	0.000883995228982673	-0.0962761269574931	0.212	0.304	1
Mfsd1	0.00088507862389231	-0.0740667395076448	0.118	0.169	1
Ap4s1	0.000890865279165725	0.076569815322143	0.173	0.221	1
Ube2v1	0.000892704610262355	0.0292971897419977	0.156	0.196	1
Tesk1	0.000893057633566288	0.02584707181928	0.137	0.086	1
Slc16a6	0.000900374323005742	-0.0117975194443095	0.071	0.123	1
Zfp777	0.000906255281740602	-0.0379438452441978	0.155	0.199	1
Dars2	0.000906791766735194	-0.02263416380502	0.075	0.13	1
Pck2	0.000908181245384592	-0.0225768066615219	0.093	0.152	1
Pja2	0.00090827579358187	0.0360684832611443	0.16	0.118	1
Huwe1	0.000908552559357941	0.139522028887554	0.199	0.248	1
1700019J19Rik	0.000911483980506125	-0.0250553607254822	0.072	0.12	1
Dr1	0.000915096587107124	0.0275653431775538	0.155	0.199	1
Cd3e	0.000916589022234456	0.234566111641877	0.658	0.664	1
Zcchc7	0.0009245329150602	0.238955422713906	0.304	0.243	1
Sh3gl1	0.000924628515310499	0.127404750413111	0.146	0.191	1
Arl13b	0.000927035609189159	-0.0890145685213916	0.199	0.157	1
Smcr8	0.000927358672311256	0.00486486524569749	0.067	0.145	1
Dpy19l3	0.000927762543206718	0.0069527255866932	0.167	0.1	1
Bivm	0.000930826796588576	-0.00353313802930261	0.102	0.056	1
Zbtb33	0.000932137624224506	-0.01352840220136	0.114	0.162	1
Tmub1	0.000932942041745912	0.0239065012685475	0.157	0.203	1
Zbtb40	0.000938463432771904	-0.00551996126711991	0.15	0.1	1
Cinp	0.00093952990281187	0.0306299378530238	0.089	0.147	1
Abca2	0.000939968526633208	-0.0149666534430807	0.111	0.152	1
Srsf2	0.000940807217684011	-0.145120910740295	0.295	0.38	1
Ccdc34	0.000944658663783502	0.0479325382089191	0.106	0.145	1
Pigu	0.000950709355940468	0.0593822017576039	0.127	0.074	1
Bcdin3d	0.000951178832368804	0.0402000962565457	0.089	0.123	1
Surf6	0.00095177724227305	-0.0454384198647423	0.097	0.145	1
Maz	0.000951992389079525	-0.0610327832682619	0.065	0.123	1
Gm9803	0.000959447142767537	0.0274518225407368	0.136	0.174	1
Bcl7a	0.000960609985629423	0.0991719555003223	0.146	0.186	1
Rcn3	0.000964722705785561	0.0342467418654206	0.147	0.191	1
Erp29	0.000966758401709735	0.0228717376820079	0.227	0.292	1
Cab39l	0.000968951518484478	0.12157869982413	0.169	0.118	1
Uvrag	0.000968956230591358	0.00521558438850439	0.197	0.15	1
Etfdh	0.000970985935043901	0.0491239456195104	0.126	0.169	1
Cpsf2	0.000972593607088849	0.137019144427986	0.197	0.142	1
Nudt3	0.000980497708531451	0.0344211656132363	0.122	0.167	1
Vkorc1	0.000986876183933516	0.0356794640919121	0.191	0.15	1
Abhd18	0.000986962018285345	0.0542608881565841	0.073	0.105	1
Vamp5	0.000987097038236223	0.126723613013495	0.181	0.221	1
Rnasel	0.000991208816034371	-0.0216944262173018	0.117	0.162	1
Ppia	0.000992660885390881	0.09523677859521	0.978	0.988	1
Tmed4	0.000995437813883395	0.138729136801765	0.186	0.13	1
Msl3l2	0.000997721191924696	-0.0279088228224611	0.133	0.093	1
Zc3h7b	0.000998170961062758	0.0477166660957755	0.139	0.091	1
Rangrf	0.000998696873788167	-0.0434609147940112	0.092	0.137	1
Ptk2b	0.00100025761049213	0.179139807940712	0.24	0.189	1
Zfp821	0.00100509193400289	0.0598087836638948	0.181	0.11	1
Zbtb11os1	0.00100978419111634	0.103285548245168	0.178	0.127	1
Poldip2	0.00101151841347481	-0.0120686745655009	0.141	0.186	1
Ubash3a	0.00101319922536071	0.0488826647004199	0.112	0.152	1
Rac2	0.00101333580315623	0.153156889279893	0.877	0.885	1
Afg3l2	0.00101431869020321	0.0454098914104338	0.194	0.142	1
Eif2ak1	0.00101462437142729	0.0314849399199136	0.131	0.169	1
Plcxd2	0.00102745110438543	-0.00291002102619176	0.178	0.233	1
Pip4k2a	0.00103254564482077	0.00906485896838055	0.152	0.206	1
Nmnat1	0.00103529058889148	0.0251206024279699	0.109	0.027	1
Gpr34	0.00103669609042115	-0.00863492854136065	0.125	0.1	1
St7l	0.00104223636428232	-0.0237802676910404	0.163	0.203	1
Gm16152	0.00104245307370643	0.0465670160258571	0.154	0.196	1
Sardh	0.00104527056790383	0.0251274587293906	0.074	0.113	1
Gm47438	0.00104614738108788	-0.00317264290273779	0.072	0.12	1
Hdgfl2	0.00104925162711314	-0.00274707754332976	0.146	0.199	1
Orai2	0.00104986221726008	-0.0548774619931093	0.131	0.184	1
Zfp507	0.00105310497081302	-0.00315867870374797	0.137	0.174	1
Ccdc142os	0.00105461068969002	-0.00980347189878964	0.117	0.059	1
Tsr2	0.00105786106168175	0.00726149555997768	0.119	0.162	1
Fam207a	0.00106303301650078	-0.0198924515333203	0.127	0.172	1
Fyb	0.00106403731344497	0.244850285522558	0.616	0.6	1
Pdp2	0.001064330647632	-0.0148189435130641	0.107	0.142	1
Ino80	0.00107191417623083	-0.0050728083729651	0.162	0.12	1
Cybb	0.00107618586677808	-0.00544530341006419	0.092	0.145	1
Mapkapk2	0.00108166644709715	-0.0107718227450279	0.104	0.076	1
Hipk3	0.00108623484894801	0.0800757458714993	0.101	0.066	1
Eci1	0.00108634249147786	0.0865060350845697	0.209	0.159	1
Gzf1	0.00109094702412752	0.0128449163132374	0.13	0.071	1
Erg28	0.0010911052745878	0.205731841043812	0.207	0.15	1
Sec61a2	0.00109248134038094	0.00796941631608913	0.124	0.15	1
1700025G04Rik	0.00109252444204636	0.182311332500665	0.123	0.056	1
Dhx16	0.00109418458485781	0.0392640980099314	0.105	0.14	1
Nol9	0.00111148399904318	-0.0107887154132756	0.163	0.206	1
Kat5	0.00111286685161967	0.0310800924091715	0.179	0.135	1
Pomp	0.00111509149581126	-0.0666480306217174	0.417	0.537	1
Rhot2	0.00111911833699971	0.0646206078363729	0.086	0.12	1
Itgb1	0.00111914271523191	-0.0175452300534686	0.149	0.196	1
Sugp2	0.00112841142255022	0.0877957084201065	0.146	0.179	1
Sdhaf3	0.00113274726569583	-0.0346943865676377	0.212	0.164	1
Ppp1r8	0.00113297157401573	0.0486524052845239	0.136	0.179	1
Dis3l	0.00113714996626204	0.0353162871474501	0.128	0.074	1
Golga1	0.00117065897029556	0.00633645102591582	0.143	0.098	1
Gpx1	0.0011722968601532	-0.159954475311572	0.355	0.453	1
Paox	0.00117322977981198	-0.0641630710613084	0.12	0.162	1
Rabl6	0.00118270511271811	-0.00515767344018381	0.174	0.13	1
Xlr4a	0.00118547173256058	0.0330742513028067	0.127	0.167	1
Tec	0.00118855300162789	-0.00121486542335775	0.136	0.091	1
Bcl7c	0.00118973781035563	0.0973006018475912	0.134	0.172	1
Pde6a	0.0011899659381253	0.0535955637265195	0.188	0.135	1
Pcmt1	0.00119531199146716	0.12849233181982	0.27	0.213	1
Zmiz1	0.00119576664602031	0.253219599188421	0.21	0.152	1
Hps3	0.00120432961729951	0.039987874500882	0.197	0.152	1
Jade2	0.00120527021849724	0.0315475233200745	0.131	0.162	1
Rhob	0.00120691851763825	-0.256057443778989	0.22	0.27	1
Gm31805	0.0012145571935345	-0.00053951318057901	0.076	0.108	1
Idh2	0.00121553348385739	0.0790011658439154	0.216	0.162	1
Mfsd4b4	0.00121854647556494	-0.0117097886785609	0.141	0.081	1
Hba-a2	0.0012424141146429	0.0123375305014783	0.112	0.169	1
Ap1b1	0.00124508167636322	0.129530842385391	0.165	0.11	1
Tmem156	0.00125285144067269	-0.0219815044043947	0.107	0.15	1
Mcoln1	0.0012532516506782	0.000439235007266628	0.097	0.127	1
Zscan12	0.00125439650118567	-0.010613734297296	0.07	0.113	1
Kif1bp	0.00125651523238844	-0.0206552517006303	0.168	0.213	1
Gpbp1l1	0.00126096397218763	0.132168301189709	0.26	0.211	1
Lcp2	0.00126206493899178	0.037981478688568	0.282	0.233	1
Msantd2	0.00126589835696012	-0.0186427136902311	0.062	0.12	1
Rasa2	0.00127187080775805	0.00709246959455473	0.134	0.181	1
Zfp62	0.00127219255121431	0.028141287316469	0.173	0.13	1
Hnrnpa0	0.00127248061689576	0.0556873582592241	0.217	0.167	1
Rabac1	0.00127290339872629	-0.102816684418734	0.539	0.684	1
Il17ra	0.0012764022005131	0.03601481710201	0.184	0.142	1
Tsix	0.0012786226666924	0.0649542839595752	0.171	0.108	1
Cage1	0.00129164968238106	-0.0271240682917901	0.091	0.142	1
Tcaim	0.00130483573589727	0.0246570733872277	0.094	0.132	1
Fastk	0.0013060943237217	0.0667175776010459	0.11	0.15	1
Gm29325	0.00130850558370915	0.0144900643206265	0.095	0.135	1
Il6st	0.00131812711685458	-0.0492539609792192	0.099	0.145	1
Cand1	0.00132306301037463	0.048296765351252	0.21	0.164	1
Batf	0.00132639449017569	-0.148512273415484	0.186	0.248	1
Nop58	0.00132989214997182	0.00199985975199235	0.252	0.304	1
Fbxo7	0.00133152862732321	0.00831568172249478	0.154	0.194	1
Nup62	0.0013335010402706	0.0212368606824235	0.128	0.162	1
Npepl1	0.00134096430840281	0.0220753004921782	0.167	0.123	1
Cd8a	0.00134606984654009	-0.0212835290221334	0.249	0.311	1
Cog1	0.00135248690314573	0.0740977399947873	0.126	0.157	1
Ppp2r2d	0.00135670133890848	-0.0209918159383517	0.157	0.203	1
Gbf1	0.0013648375245728	-0.0142946236392813	0.171	0.211	1
Ap3m2	0.00136889521262258	-0.0365535895264859	0.192	0.15	1
Ankra2	0.00137030875168927	0.0285360085342593	0.124	0.076	1
Limd2	0.00137707397119294	0.130708765342177	0.824	0.846	1
Atp1a1	0.00138023360507317	-0.119739344396014	0.183	0.248	1
Lta	0.00138693400310532	0.0340063360642685	0.121	0.157	1
Zfp747	0.00138832626767117	-0.0265777971148062	0.05	0.113	1
Tmem206	0.0014019821940588	0.0360148552337228	0.114	0.164	1
Frat1	0.0014106258531396	0.0156618620808905	0.191	0.145	1
Psmd10	0.00141163855902844	0.0554498748235158	0.203	0.15	1
Arsb	0.00142086509004884	-0.0152230653098834	0.118	0.083	1
Mrpl19	0.00142389891399858	0.0326888698335167	0.128	0.174	1
Tmem135	0.00142568707928468	0.0182814296372069	0.094	0.137	1
Phf5a	0.00143437679161292	0.155734005187057	0.24	0.189	1
Dstyk	0.00143724500300091	-0.0185597744007966	0.112	0.152	1
Wbp11	0.00143859282281207	0.188127153039415	0.279	0.225	1
Fnip1	0.00144394014189853	0.0246877559130859	0.165	0.108	1
Kptn	0.00144955144137107	-0.0238018289012688	0.109	0.15	1
Kif3b	0.00145214167176506	0.0330673063967589	0.158	0.11	1
Asrgl1	0.00145416911825693	-0.0112010832322574	0.108	0.154	1
Klf7	0.0014581391587603	-0.0935647595489195	0.175	0.233	1
Zc3h6	0.00146263002262489	0.077298358979166	0.218	0.174	1
Zbtb45	0.00146470253074955	0.0528634357692314	0.131	0.169	1
Hmgcr	0.00147439140791034	-0.0270638107212254	0.161	0.208	1
Atf7	0.00148046841717934	-0.00257034752603855	0.166	0.125	1
Lclat1	0.0014818755350658	0.0173632635335657	0.171	0.115	1
Ctcf	0.00148773931497934	0.196233084027332	0.32	0.267	1
Nme6	0.00148889558424654	0.00788149177807162	0.073	0.105	1
3110001I22Rik	0.00149956831423341	-0.011125651132865	0.191	0.15	1
Ddhd1	0.00150102869703971	0.0343295716681033	0.154	0.11	1
Pinx1	0.00150379591608952	0.0183269507493193	0.134	0.179	1
Tspan3	0.00150410593385618	0.0353600600313158	0.192	0.147	1
Nhej1	0.00150889456675813	-0.0109562844451719	0.072	0.137	1
Grwd1	0.00151670762016477	0.0141492158429149	0.193	0.15	1
Pofut2	0.0015248350094056	0.0128747276881766	0.199	0.245	1
Atg5	0.00152631242212092	0.0676045687698743	0.218	0.172	1
Mapkapk3	0.00152703228191401	-0.00812036258063836	0.181	0.223	1
Adss	0.00153873353290344	-0.01563439637996	0.205	0.262	1
Fbxw4	0.00154239682130505	0.0807567991953033	0.144	0.088	1
0610037L13Rik	0.00154478388290553	-0.0536665495790856	0.177	0.221	1
Rpl27	0.00154696634662049	-0.137814813529079	0.472	0.581	1
Odc1	0.0015483480443536	-0.0437968811265643	0.197	0.248	1
Rab24	0.0015626137862318	0.109071000449115	0.241	0.191	1
Mettl9	0.00156433798528527	-0.0761027001004567	0.155	0.213	1
Fyn	0.00156477040317674	0.0294756927306136	0.185	0.243	1
Noa1	0.00157284311274605	-0.0234348929093719	0.162	0.115	1
Tma7	0.00157446476465215	0.156364220094658	0.68	0.667	1
Zfp771	0.00157541421993637	0.0372275619414892	0.139	0.176	1
Sntb1	0.00158000570860223	-0.0731910114977835	0.172	0.135	1
Alox5ap	0.00158115821294129	0.00546267280407357	0.104	0.142	1
Rap1b	0.00159438146796674	0.228545847429604	0.561	0.52	1
Lman1	0.00160347907378026	0.00256858496340026	0.129	0.154	1
Toe1	0.00160858092261431	0.0752509532956022	0.168	0.123	1
Polr3c	0.00162690597014299	0.0390466966494703	0.132	0.179	1
Gm10093	0.00162904922768867	0.0103357454459021	0.107	0.054	1
Cluh	0.00163039672356221	-0.0224614191669224	0.096	0.135	1
Rftn1	0.00163112951337332	0.0449719277515487	0.138	0.184	1
Ppcdc	0.00164151990882904	0.0134033487703665	0.114	0.154	1
Gphn	0.00164633890212578	-0.0272515691996154	0.126	0.179	1
Clic4	0.0016494294489406	-0.0214126772307023	0.135	0.179	1
Pcsk7	0.00165920731895904	0.0130613308432639	0.13	0.181	1
Pigf	0.00166133674650099	-0.0114450980631057	0.144	0.184	1
Ddx56	0.00166153067447188	0.0133034019611761	0.139	0.181	1
Rbak	0.001664947390885	0.0579128309206566	0.136	0.103	1
Ammecr1	0.00167183212998699	0.00299344735843075	0.155	0.194	1
Chordc1	0.00167589600579579	-0.0380552813545183	0.17	0.218	1
Asna1	0.00167767982467624	0.109326090844404	0.253	0.203	1
Lonp1	0.00167810433617205	0.0422096099718918	0.165	0.12	1
Eri3	0.00168237856288535	-0.0424245435799795	0.125	0.086	1
Extl2	0.00168313365465039	-0.00358282246380095	0.112	0.064	1
Stil	0.00169206530751664	-0.00259148106891883	0.12	0.066	1
Phkb	0.0016966713477573	0.048607045427353	0.137	0.174	1
Prkacb	0.00169852207435342	0.0935751096118128	0.152	0.1	1
Gtf2h2	0.00170803092378116	-0.00870024072812611	0.135	0.179	1
Gm11131	0.00170811016212086	-0.0208822979273155	0.094	0.135	1
Zbtb22	0.00171767812827525	0.0353118750927985	0.123	0.145	1
Ifitm6	0.00172448397254347	0.0153177048553472	0.168	0.11	1
Ints4	0.00172896327409427	-0.00890459550250892	0.134	0.159	1
Ints6	0.00172992196495215	0.0830603295310614	0.176	0.125	1
Pex6	0.00173161352017236	-0.0113087086221756	0.083	0.113	1
Il7r	0.00173553733457488	-0.27654152240102	0.332	0.417	1
Zfp52	0.00174952605890644	-0.0334664989122056	0.104	0.064	1
Khk	0.00176458766149246	0.128528777826626	0.192	0.142	1
Lax1	0.0017655486506166	0.00945063808945447	0.081	0.118	1
Slc3a2	0.00177179624832107	-0.158019233538527	0.368	0.439	1
Nsun5	0.0017726324036413	0.0341161489125786	0.14	0.093	1
Rock2	0.00179940188930821	0.00782447417830948	0.204	0.164	1
Coa7	0.00179989843015454	0.0313172661765157	0.24	0.194	1
Gnal	0.00180676592184039	-0.0197675841157426	0.133	0.186	1
Zfp871	0.00180961415840127	0.0244335904025395	0.158	0.115	1
Rdh11	0.00181268356073184	0.0597824076306132	0.114	0.093	1
Spin1	0.00182031506209219	-0.021938192299456	0.131	0.174	1
Zfp217	0.00182033791550267	0.0817891683323439	0.076	0.11	1
Ppp6r1	0.00182135571745338	0.134841814692661	0.204	0.152	1
Acss2	0.00182152644906694	-0.0244316829379223	0.166	0.211	1
Samd8	0.00183334299033317	0.0645317321838988	0.144	0.1	1
Cox7a2	0.00183797218172986	0.211700212285886	0.572	0.547	1
Casp3	0.00183989725825695	0.0228248421510267	0.157	0.196	1
Cdk1	0.00184294056677302	-0.0160977827570894	0.131	0.179	1
Fxr1	0.00184773211835243	-0.0493750810277694	0.179	0.233	1
Lsm8	0.00185841853069637	0.0506414096776657	0.173	0.228	1
Sec63	0.00186078823538957	0.0743350773106771	0.188	0.223	1
Slc5a3	0.00186959903661369	-0.00289302549707803	0.102	0.15	1
Tbc1d2b	0.0018711963042511	0.0434739949269291	0.157	0.113	1
Slc52a2	0.00187839270830673	0.0907986283811623	0.134	0.086	1
Mad2l2	0.00189327635190337	-0.0261289509577559	0.105	0.15	1
Slc37a4	0.00189646409845254	0.0562191522521615	0.13	0.091	1
Hmgn3	0.00189780783603588	-0.00639928564657977	0.091	0.113	1
Chkb	0.00192218845804215	-0.0600242014769333	0.117	0.164	1
Uqcrb	0.00192386861902264	0.265058511053369	0.545	0.52	1
Dtnb	0.00192747248237573	0.0752304281312872	0.2	0.154	1
Dhx57	0.00193467192741563	0.0265338087406251	0.08	0.157	1
Ciz1	0.00193808482417332	-0.0158080265311492	0.204	0.164	1
Bcor	0.00193968327171702	0.019033886228766	0.122	0.164	1
Comtd1	0.00194029279101582	-0.0295788645292234	0.121	0.164	1
Exosc1	0.00194234246013292	-0.0246845988118213	0.111	0.157	1
Coro2a	0.00194614196417847	0.0315503939256966	0.128	0.15	1
Cnot8	0.00196668488627705	0.0385205589580496	0.177	0.132	1
Prpsap2	0.00197064062138954	0.0445887121897859	0.184	0.142	1
Eif4g1	0.00197285551994712	0.132686125023119	0.158	0.201	1
Dnajc14	0.00197857565993087	-0.0385374497998486	0.168	0.211	1
Zswim1	0.00198325475637397	0.00141187244137794	0.139	0.174	1
Yif1b	0.00199100075436097	0.0341243514308979	0.181	0.137	1
Tsc22d3	0.0020010559468062	-0.0958874263751317	0.471	0.566	1
Cd55	0.00200235700315651	-0.169409468627435	0.218	0.272	1
Pcf11	0.00200400336992434	-0.0458794088057271	0.267	0.316	1
Il4ra	0.00200453906239282	-0.089586580678698	0.253	0.316	1
Hs6st1	0.00200683128358018	0.0310648182882624	0.078	0.123	1
Trappc2l	0.00200774785073883	0.06220394115739	0.253	0.203	1
Fto	0.00200911861423921	0.0558559459226554	0.101	0.14	1
Mdh2	0.00201236995091623	0.221419298774547	0.457	0.412	1
Dcun1d2	0.0020383862887738	0.0132252405621994	0.149	0.186	1
Ppox	0.0020390017504093	0.0496250403254039	0.163	0.113	1
Hp1bp3	0.00204078651809998	0.163949299422045	0.289	0.235	1
Ppp1r21	0.00204357007889611	-0.0285783396856609	0.175	0.115	1
Slc38a10	0.00205897260242328	0.0880486204781973	0.202	0.154	1
Map1s	0.00206046043933527	0.0191656284979374	0.117	0.157	1
Cst7	0.00206871915704684	0.0176515279719743	0.171	0.213	1
Vars	0.00207046635252521	-0.0204233940355836	0.163	0.12	1
Ctdsp2	0.00207066652419304	0.0619248724009549	0.166	0.118	1
Tbc1d10b	0.00207250321802355	0.0118030234506176	0.159	0.199	1
Hps6	0.00207315227847739	-0.0246217804810882	0.096	0.152	1
D130040H23Rik	0.00208609083169523	0.0258848049499091	0.168	0.105	1
Kif3a	0.00208897631484148	0.0387164356623122	0.118	0.032	1
Msmo1	0.00210150695828901	0.108548526613094	0.186	0.137	1
Abhd13	0.00210562897024166	-0.0197414509761558	0.102	0.127	1
Klhl25	0.00212401251002029	0.0505325384622149	0.138	0.159	1
Xylt2	0.00212713792795762	0.0544828017835119	0.151	0.105	1
Tank	0.00213520217583347	0.119474027090432	0.15	0.186	1
Hsbp1	0.00213582191100236	0.373271106677224	0.308	0.24	1
Naxd	0.00213604878580058	0.0509445986767513	0.239	0.191	1
Ccdc69	0.00215032937862741	0.0443933232163635	0.152	0.194	1
Ptcra	0.00215386266961164	-0.0345553776486853	0.114	0.071	1
Tcf25	0.00215396453061212	0.102408673133557	0.255	0.324	1
Usp36	0.00215509671767547	0.0591377941685093	0.173	0.216	1
Katnbl1	0.00216258995030346	0.102834517019174	0.16	0.194	1
Ddb2	0.00220256281992947	0.014772256937927	0.179	0.223	1
Eef1e1	0.00220782851297602	0.105423992839142	0.225	0.172	1
Gm26551	0.0022144164399091	0.104080659551554	0.205	0.159	1
Zfp949	0.00221918049327357	0.043965564251856	0.187	0.142	1
Malsu1	0.00222848808960255	0.0975825419671897	0.231	0.186	1
Papss1	0.00223118769261556	0.0714439891561011	0.175	0.13	1
Rfng	0.00223261459581643	-0.0228768823958384	0.147	0.11	1
Ar	0.00223872882136761	0.0335220476155683	0.135	0.172	1
Aldh4a1	0.00224018929432873	-0.00280694622324951	0.094	0.118	1
Dbnl	0.0022464800198002	0.012539002393486	0.22	0.282	1
Ric1	0.00224665373392482	0.0344877643935239	0.108	0.132	1
Zc3h13	0.00225201486480203	0.133343556276514	0.167	0.216	1
Zcchc4	0.00226151830297338	0.00426682631968885	0.089	0.13	1
Zfp608	0.00227234809507085	0.0099067193195857	0.109	0.047	1
Cox7a2l	0.00227520551192206	-0.114539147693384	0.702	0.831	1
Agpat4	0.0022825547334476	0.0201679792254146	0.151	0.103	1
Bean1	0.00228489231357543	0.0101737906388579	0.12	0.061	1
Eya2	0.00228996235033885	0.0185478401554533	0.167	0.108	1
Eif2b3	0.00229600408113968	-0.0873973042620539	0.171	0.211	1
Nabp2	0.00231173785947982	0.0331229800652207	0.215	0.174	1
Xcl1	0.00231861861428714	0.0393845386162579	0.11	0.157	1
Rheb	0.00232367072997428	0.200439793290498	0.278	0.225	1
